,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,68.5,-1828.0135513,-1828.01401221,-1827.94228247,-187.116284657489,-188.326403677867
,69,-1828.01355949,-1828.01402056,-1827.94228247,-187.137787499258,-188.348326599904
,69.5,-1828.01356756,-1828.01402878,-1827.94228247,-187.158975280824,-188.369908206425
,70,-1828.01357551,-1828.0140369,-1827.94228247,-187.179848002785,-188.391227263374
,70.5,-1828.01358336,-1828.01404489,-1827.94228247,-187.200458174578,-188.412205004805
,71,-1828.01359109,-1828.01405278,-1827.94228247,-187.220753286766,-188.432920196666
,71.5,-1828.01359872,-1828.01406055,-1827.94228247,-187.240785848189,-188.453320328921
,72,-1828.01360624,-1828.01406822,-1827.94228247,-187.260529605322,-188.473457910411
,72.5,-1828.01361365,-1828.01407578,-1827.94228247,-187.279984557569,-188.493306687612
,73,-1828.01362097,-1828.01408323,-1827.94228247,-187.299203214366,-188.512866659925
,73.5,-1828.01362818,-1828.01409057,-1827.94228247,-187.318133066873,-188.532137826756
,74,-1828.0136353,-1828.01409783,-1827.94228247,-187.33682662393,-188.551198954048
,74.5,-1828.01364232,-1828.01410499,-1827.94228247,-187.355257630818,-188.569997531173
,75,-1828.01364925,-1828.01411206,-1827.94228247,-187.373452343451,-188.588559812847
,75.5,-1828.01365609,-1828.01411903,-1827.94228247,-187.391410760634,-188.606859545547
,76,-1828.01366284,-1828.01412591,-1827.94228247,-187.409132882964,-188.624922982797
,76.5,-1828.0136695,-1828.0141327,-1827.94228247,-187.426618710441,-188.642750124598
,77,-1828.01367608,-1828.01413941,-1827.94228247,-187.443894497783,-188.660367227457
,77.5,-1828.01368258,-1828.01414602,-1827.94228247,-187.460960244991,-188.677721779551
,78,-1828.01368899,-1828.01415256,-1827.94228247,-187.477789697345,-188.694892546826
,78.5,-1828.01369532,-1828.01415901,-1827.94228247,-187.494409109566,-188.711827019248
,79,-1828.01370156,-1828.01416542,-1827.94228247,-187.51079222753,-188.728656471603
,79.5,-1828.01370773,-1828.01417171,-1827.94228247,-187.526991560077,-188.745170864353
,80,-1828.01371382,-1828.01417792,-1827.94228247,-187.542980852491,-188.761475216968
