#time,msd
4048.0,400973.6897792905
4052.0,398766.80674215144
4056.0,398922.24939469714
4060.0,398456.8767880957
4064.0,399961.93507928826
4068.0,401268.28881818836
4072.0,401033.3179527755
4076.0,402259.7400639033
4080.0,403871.8392671827
4084.0,402664.78534316056
4088.0,404629.7169551588
4092.0,404532.2973741785
4096.0,403449.44833377557
4100.0,404213.68201289146
4104.0,405482.51626108517
4108.0,406337.27741618856
4112.0,405154.38797644945
4116.0,406745.39044647524
4120.0,405687.2448353815
4124.0,404706.2961352017
4128.0,406334.2565055718
4132.0,406929.3444404825
4136.0,408148.9541731446
4140.0,407081.27379741945
4144.0,410370.95156595064
4148.0,406793.84756237024
4152.0,406921.5568018406
4156.0,407499.5540969791
4160.0,406774.2461139787
4164.0,403882.4511192529
4168.0,401959.4506378312
4172.0,403640.7009687647
4176.0,405595.72716637695
4180.0,407829.249647637
4184.0,408828.5383087014
4188.0,408358.8318002858
4192.0,408560.2912210316
4196.0,413968.5080522621
4200.0,415848.05869854265
4204.0,416828.8154211747
4208.0,418604.5958352116
4212.0,419034.9611578678
4216.0,420979.9054962845
4220.0,419443.55369700375
4224.0,422713.9714932407
4228.0,424366.57578949875
4232.0,426836.82510317327
4236.0,427701.75383579254
4240.0,429158.2031785873
4244.0,431396.0860436048
4248.0,430130.21502890537
4252.0,432074.3457821151
4256.0,432261.07648310746
4260.0,432128.4993380154
4264.0,434541.5333071643
4268.0,434960.3490002702
4272.0,436974.2112398926
4276.0,438502.2804286183
4280.0,439474.23584199435
4284.0,438045.55166828545
4288.0,437876.2386560554
4292.0,437066.47913205146
4296.0,439237.99708412244
4300.0,438770.1689872324
4304.0,436134.52545610606
4308.0,438854.4339496422
4312.0,436640.76366851525
4316.0,438203.7605777041
4320.0,438122.76914412744
4324.0,439694.28693336603
4328.0,438986.7706855675
4332.0,440657.19911621936
4336.0,438814.55945168535
4340.0,439780.378611907
4344.0,439645.26405248605
4348.0,439033.0429046618
4352.0,436475.38864152436
4356.0,433005.6063164822
4360.0,436226.26071052323
4364.0,434533.28784720605
4368.0,435460.12520410685
4372.0,437138.9725343796
4376.0,436126.60675451247
4380.0,435991.24768008135
4384.0,434253.42907101853
4388.0,436951.75107511046
4392.0,437371.4192559496
4396.0,439322.1206875547
4400.0,440486.8403918414
4404.0,441099.3439834158
4408.0,442870.10584914463
4412.0,441976.87569266383
4416.0,442072.46515579114
4420.0,441913.9909920955
4424.0,445706.26014962007
4428.0,442347.82101671264
4432.0,443446.1560705925
4436.0,444083.5432148616
4440.0,444084.47547916113
4444.0,443321.9765586324
4448.0,441791.56765985175
4452.0,443542.41556129255
4456.0,443893.6599206225
4460.0,442106.8856095821
4464.0,443177.3151557165
4468.0,442848.5188593607
4472.0,442242.3301983059
4476.0,440136.7721084788
4480.0,441353.7270617441
4484.0,442246.135178838
4488.0,442019.2062586612
4492.0,443991.84377447714
4496.0,441247.9545229603
4500.0,442262.87943947385
4504.0,445938.05321907916
4508.0,447255.85154208745
4512.0,448202.99007377744
4516.0,449665.98416538374
4520.0,449971.6671495291
4524.0,449314.43185491546
4528.0,447838.6574279836
4532.0,444524.479702321
4536.0,445155.9046998359
4540.0,444379.26089499326
4544.0,444983.6083961656
4548.0,447373.39583363355
4552.0,444661.7758128439
4556.0,445356.5163125396
4560.0,445910.43294515443
4564.0,448825.1401661616
4568.0,449009.8542160685
4572.0,450616.4639641785
4576.0,454565.0769994909
4580.0,451273.8406016944
4584.0,452827.1504091312
4588.0,454088.175090382
4592.0,452865.65008059185
4596.0,451748.7615319556
4600.0,452131.45013735426
4604.0,455893.99173736473
4608.0,455828.26220379054
4612.0,452246.67571261886
4616.0,452837.5789032306
4620.0,454925.0554142358
4624.0,451038.00753726205
4628.0,450111.76551884634
4632.0,453542.0410292507
4636.0,449405.3944774204
4640.0,447674.86146873067
4644.0,446559.9534290683
4648.0,447543.48232961894
4652.0,443162.95352340135
4656.0,446498.71182083595
4660.0,447676.8947291134
4664.0,445440.58633670106
4668.0,443305.4662072811
4672.0,442313.10314602096
4676.0,442199.7626825969
4680.0,441099.4300697236
4684.0,439820.78084390215
4688.0,440473.7827728534
4692.0,440698.0531650372
4696.0,439975.33280506305
4700.0,441382.5303012503
4704.0,442938.8680807964
4708.0,440864.80733942194
4712.0,439158.91350229154
4716.0,440734.4024901195
4720.0,439549.76819522853
4724.0,439307.87425325694
4728.0,438137.0389639167
4732.0,438939.99617800943
4736.0,437303.67353166675
4740.0,438596.9443228603
4744.0,439453.95616684237
4748.0,441248.5073600203
4752.0,440492.8295282251
4756.0,439366.238866188
4760.0,442771.753938229
4764.0,443252.7714239629
4768.0,444852.43946810585
4772.0,443886.2170688096
4776.0,444010.5216736668
4780.0,443304.30179540685
4784.0,446586.05476412794
4788.0,445965.0964571813
4792.0,446082.32810035575
4796.0,447041.9727042829
4800.0,445781.41087092244
4804.0,449362.95135449705
4808.0,451244.1306418869
4812.0,449002.3405765254
4816.0,448029.15632071893
4820.0,446898.74113240466
4824.0,444685.0531567488
4828.0,444287.05103358824
4832.0,443232.91545924975
4836.0,443949.3734875517
4840.0,440136.31497221324
4844.0,437394.9113387806
4848.0,438680.6292474224
4852.0,439363.9470714236
4856.0,434960.03515072115
4860.0,434417.4158020129
4864.0,434212.18347230076
4868.0,435720.4475818201
4872.0,432973.0642859867
4876.0,434440.34325849894
4880.0,433331.25243905204
4884.0,433081.30050519493
4888.0,432574.9003668168
4892.0,429444.0444695116
4896.0,431719.86725568067
4900.0,431253.0764915394
4904.0,430479.5469479175
4908.0,433567.05566092214
4912.0,432093.02007031627
4916.0,430274.86892322614
4920.0,429667.35899825033
4924.0,430109.6475916679
4928.0,428864.25281472394
4932.0,431264.4334851568
4936.0,430856.41502400313
4940.0,430638.46381670976
4944.0,428862.0994792973
4948.0,429378.97501430206
4952.0,429191.7888025081
4956.0,430738.2192101899
4960.0,428738.1140081443
4964.0,429529.0785707441
4968.0,429377.89165217214
4972.0,429180.88637275435
4976.0,428386.79826167924
4980.0,428483.06009934435
4984.0,429568.20454390545
4988.0,428008.0217889016
4992.0,427082.50677922386
4996.0,427389.52041273925
5000.0,427936.26380809274
5004.0,425398.15996148967
5008.0,422208.838409446
5012.0,424010.9877579336
5016.0,427927.7020732705
5020.0,425312.579665548
5024.0,425659.7609986393
5028.0,423846.12982401956
5032.0,425806.3611342864
5036.0,425225.77491612424
5040.0,427520.6858385815
5044.0,427053.80445396213
5048.0,426354.8839791764
5052.0,427474.6030597321
5056.0,424067.49982141796
5060.0,424184.9578535131
5064.0,428810.7254706088
5068.0,428505.5918080032
5072.0,427158.2784754522
5076.0,427094.6015372387
5080.0,430880.61632740195
5084.0,431929.35699163505
5088.0,430823.520966534
5092.0,432947.85212051566
5096.0,435428.4758168653
5100.0,438889.1756480858
5104.0,438789.48112399725
5108.0,436739.2764570712
5112.0,439789.5855044003
5116.0,437491.7673714373
5120.0,436634.1502953724
5124.0,437792.2431542607
5128.0,440453.3623863226
5132.0,438863.13268392516
5136.0,438818.4294667502
5140.0,442473.3642784131
5144.0,440865.54872502957
5148.0,442043.2392450049
5152.0,440485.114344361
5156.0,440362.91498772526
5160.0,439461.845004139
5164.0,438941.827851454
5168.0,437601.4162880272
5172.0,437089.69789929345
5176.0,432952.05855490966
5180.0,433227.8390729393
5184.0,431148.5259218951
5188.0,431003.0638704914
5192.0,431564.01749496843
5196.0,430837.82825151325
5200.0,429466.90308476874
5204.0,423620.8369174623
5208.0,423534.71944471926
5212.0,423817.8169966899
5216.0,423977.6875470409
5220.0,422198.87569708703
5224.0,418081.614384181
5228.0,421904.3738760714
5232.0,423926.8352721616
5236.0,426380.1654496775
5240.0,423989.02293553285
5244.0,422769.9496851264
5248.0,421987.6064577969
5252.0,423951.92940758495
5256.0,424690.76032429835
5260.0,424310.86954067217
5264.0,424883.9666903452
5268.0,421406.8338633808
5272.0,421462.5341067773
5276.0,423964.5009472238
5280.0,421939.7631221557
5284.0,421282.15901163383
5288.0,425345.7391200148
5292.0,423171.11872043007
5296.0,424530.5202389644
5300.0,423621.8621489446
5304.0,423446.60366038606
5308.0,422653.65018201794
5312.0,420670.7656477786
5316.0,422545.817130353
