original_row_index,doi,anion_name,composition_summary,cluster_id,conductivity,best_predicted_conductivity_ms_cm,best_abs_error_ms_cm,q_scale_opt,weighted_permittivity,weighted_viscosity_mpa_s_25c,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,temperature,anion_tfsi
167,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,10.33792144,7.15479202642847,3.183129413571531,0.7,46.05,1.245,46.05,1.245,289.8700897,0
168,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,10.2915249,7.244795046086218,3.0467298539137824,0.7,46.05,1.245,46.05,1.245,290.7763687,0
169,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,10.39978348,7.41218685745045,2.9875966225495496,0.7,46.05,1.245,46.05,1.245,291.995051,0
170,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,10.55907826,7.561205951890643,2.997872308109357,0.7,46.05,1.245,46.05,1.245,293.2168265,0
171,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,10.66269719,7.575470787663848,3.0872264023361513,0.7,46.05,1.245,46.05,1.245,293.5261367,0
172,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,10.82044541,7.75744434379859,3.0630010662014096,0.7,46.05,1.245,46.05,1.245,294.4447881,0
173,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,11.03077637,7.915461313640553,3.1153150563594467,0.7,46.05,1.245,46.05,1.245,295.6696567,0
174,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,11.24188061,8.090504407756564,3.151376202243437,0.7,46.05,1.245,46.05,1.245,297.0460872,0
175,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,11.40426848,8.2638652582879,3.1404032217121003,0.7,46.05,1.245,46.05,1.245,298.8741107,0
176,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,12.03448809,8.649450476708655,3.3850376132913453,0.7,46.05,1.245,46.05,1.245,302.3971543,0
177,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,13.49520569,9.243472173156636,4.251733516843364,0.7,46.05,1.245,46.05,1.245,308.6978039,0
178,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,14.12387875,9.565091731443,4.558787018557,0.7,46.05,1.245,46.05,1.245,311.9177235,0
179,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,14.59480359,9.75714216191145,4.83766142808855,0.7,46.05,1.245,46.05,1.245,314.2189916,0
180,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,15.06418187,9.907654241589222,5.156527628410778,0.7,46.05,1.245,46.05,1.245,316.2171358,0
181,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,15.38045159,10.059959121383889,5.320492468616111,0.7,46.05,1.245,46.05,1.245,318.2060006,0
182,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,15.85137643,10.246699106051636,5.604677323948364,0.7,46.05,1.245,46.05,1.245,320.5072688,0
183,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,16.90303124,11.473188370307735,5.429842869692266,0.7,46.05,1.245,46.05,1.245,326.6316115,0
184,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,17.68171976,12.123226724056437,5.558493035943563,0.7,46.05,1.245,46.05,1.245,329.2545623,0
185,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,18.36452212,13.250869584593932,5.113652535406068,0.7,46.05,1.245,46.05,1.245,333.0838231,0
186,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,18.89189607,14.731903667055443,4.1599924029445585,0.7,46.05,1.245,46.05,1.245,336.4491185,0
187,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,19.67445097,16.021443781896284,3.6530071881037145,0.7,46.05,1.245,46.05,1.245,339.8298794,0
188,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,20.20027838,17.455456714288598,2.7448216657114024,0.7,46.05,1.245,46.05,1.245,342.8920507,0
189,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,20.82817816,19.87224802834453,0.9559301316554709,0.7,46.05,1.245,46.05,1.245,345.9604083,0
190,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,21.40194865,21.55887978735702,0.15693113735702013,0.75,46.05,1.245,46.05,1.245,348.4194247,0
191,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,21.92932261,23.309941505816127,1.3806188958161272,0.9,46.05,1.245,46.05,1.245,351.7847201,0
192,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,22.55335602,25.711951221618683,3.1585952016186845,0.8,46.05,1.245,46.05,1.245,354.0952676,0
193,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,3.379987628,3.287122536139193,0.09286509186080671,0.85,46.05,1.245,46.05,1.245,256.1150634,1
194,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,3.48669966,3.3230153394768562,0.16368432052314397,0.85,46.05,1.245,46.05,1.245,257.0306217,1
195,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,3.543148778,3.338910214009054,0.2042385639909461,0.85,46.05,1.245,46.05,1.245,258.0946489,1
196,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,3.598824621,3.37719061456857,0.22163400643142994,0.85,46.05,1.245,46.05,1.245,259.0071141,1
197,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,3.603464275,3.408540190540888,0.19492408445911202,0.85,46.05,1.245,46.05,1.245,259.9164862,1
198,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,3.712496134,3.9943123573686514,0.28181622336865164,0.8,46.05,1.245,46.05,1.245,261.2867306,1
199,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,3.718682338,3.4479135091201987,0.27076882887980114,0.85,46.05,1.245,46.05,1.245,262.4992267,1
200,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,3.774358181,3.489207875551096,0.2851503054489042,0.85,46.05,1.245,46.05,1.245,263.4116919,1
201,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,3.778224559,3.529727532194699,0.24849702680530106,0.85,46.05,1.245,46.05,1.245,264.169502,1
202,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,3.884163316,3.596170013358815,0.28799330264118517,0.85,46.05,1.245,46.05,1.245,264.9334983,1
203,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,4.041911537,4.348392354324815,0.30648081732481547,0.8,46.05,1.245,46.05,1.245,265.8521497,1
204,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,4.20120631,4.482429407968951,0.28122309796895095,0.8,46.05,1.245,46.05,1.245,267.0739251,1
205,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,4.20816579,4.609224130382432,0.3838359542141916,0.8,46.05,1.245,46.05,1.245,268.4379833,1
206,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,4.215125271,3.8692718138230537,0.34585345717694604,0.85,46.05,1.245,46.05,1.245,269.8020414,1
207,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,4.323383854,3.971923024768558,0.35146082923144206,0.85,46.05,1.245,46.05,1.245,271.0207238,1
208,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,4.531394989,4.906937151272803,0.37554216227280346,0.8,46.05,1.245,46.05,1.245,271.7909063,1
209,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,4.739406124,5.013789537644656,0.2743834136446557,0.8,46.05,1.245,46.05,1.245,272.5610888,1
