original_row_index,doi,q_scale,temperature,anion_name,salt_conc,solvents,solvent_fracs,conductivity,conductivity_mS_cm,conductivity_uncertainty_mS_cm
12013,10.1149/2.0641503jes,0.85,313.15,PF6,1.201388889,"[""EC"",""DEC""]","[0.5,0.5]",10.204806,10.6612,1.4217
12013,10.1149/2.0641503jes,0.90,313.15,PF6,1.201388889,"[""EC"",""DEC""]","[0.5,0.5]",10.204806,7.9543,1.4182
10875,10.1149/1.1872737,0.70,333.0,PF6,0.960863698,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",19.30943215,19.2086,2.3212
10875,10.1149/1.1872737,0.75,333.0,PF6,0.960863698,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",19.30943215,18.9767,2.9248
10875,10.1149/1.1872737,0.80,333.0,PF6,0.960863698,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",19.30943215,22.1937,4.1816
10875,10.1149/1.1872737,0.85,333.0,PF6,0.960863698,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",19.30943215,12.8488,2.8312
10875,10.1149/1.1872737,0.90,333.0,PF6,0.960863698,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",19.30943215,13.9915,3.3680
10895,10.1149/1.1872737,0.70,293.0,PF6,2.237516869,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",6.207892204,7.7364,1.6635
10895,10.1149/1.1872737,0.75,293.0,PF6,2.237516869,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",6.207892204,5.8609,1.5937
10895,10.1149/1.1872737,0.80,293.0,PF6,2.237516869,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",6.207892204,5.7721,1.0622
10895,10.1149/1.1872737,0.85,293.0,PF6,2.237516869,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",6.207892204,3.8064,0.4527
10895,10.1149/1.1872737,0.90,293.0,PF6,2.237516869,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",6.207892204,1.7668,0.4843
11883,10.1149/2.0571912jes,0.70,263.15,PF6,0.503,"[""EC"",""DMC""]","[0.5,0.5]",4.959,5.1313,0.5902
11883,10.1149/2.0571912jes,0.75,263.15,PF6,0.503,"[""EC"",""DMC""]","[0.5,0.5]",4.959,3.7251,0.5808
11883,10.1149/2.0571912jes,0.80,263.15,PF6,0.503,"[""EC"",""DMC""]","[0.5,0.5]",4.959,4.1218,0.9957
11883,10.1149/2.0571912jes,0.85,263.15,PF6,0.503,"[""EC"",""DMC""]","[0.5,0.5]",4.959,3.8028,0.2996
11883,10.1149/2.0571912jes,0.90,263.15,PF6,0.503,"[""EC"",""DMC""]","[0.5,0.5]",4.959,4.2820,0.5699
11905,10.1149/2.0571912jes,0.70,303.15,PF6,1.505,"[""EC"",""DMC""]","[0.5,0.5]",10.896,13.8906,4.1508
11905,10.1149/2.0571912jes,0.75,303.15,PF6,1.505,"[""EC"",""DMC""]","[0.5,0.5]",10.896,13.6121,2.4107
11905,10.1149/2.0571912jes,0.80,303.15,PF6,1.505,"[""EC"",""DMC""]","[0.5,0.5]",10.896,12.0915,1.4353
11905,10.1149/2.0571912jes,0.85,303.15,PF6,1.505,"[""EC"",""DMC""]","[0.5,0.5]",10.896,9.3029,2.1578
11905,10.1149/2.0571912jes,0.90,303.15,PF6,1.505,"[""EC"",""DMC""]","[0.5,0.5]",10.896,8.1040,2.1300
3744,10.1149/1.1344281,0.70,296.4654522,ClO4,1.0,"[""PC""]",[1.0],3.736059577,6.6423,1.2015
3744,10.1149/1.1344281,0.75,296.4654522,ClO4,1.0,"[""PC""]",[1.0],3.736059577,6.1840,1.3860
3744,10.1149/1.1344281,0.80,296.4654522,ClO4,1.0,"[""PC""]",[1.0],3.736059577,3.5616,0.9451
3744,10.1149/1.1344281,0.85,296.4654522,ClO4,1.0,"[""PC""]",[1.0],3.736059577,3.3566,1.2582
3744,10.1149/1.1344281,0.90,296.4654522,ClO4,1.0,"[""PC""]",[1.0],3.736059577,2.0240,0.7633
