original_row_index,source_row_indices,doi,source_dois,conductivity,conductivity_std,replicate_count,cation_name,anion_name,salt_conc,solvents,solvent_fracs,temperature,original_salt,original_concentration,original_concentration_units,salt_conc_units,solvent_ratio_basis,composition_warning,composition_summary
130,[130],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",5.037117229,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",260.9124652,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
131,[131],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",5.194092174,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",261.6795546,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
132,[132],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",5.247448191,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",262.1373337,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
133,[133],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",5.353386947,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",262.90133,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
134,[134],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",5.457005877,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",263.2106403,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
135,[135],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",5.615527374,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",264.2808537,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
136,[136],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",5.77250232,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",265.0479431,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
137,[137],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",6.033096195,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",266.1243427,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
138,[138],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",6.143674606,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",267.7977111,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
139,[139],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",6.196257346,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",268.1039282,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
140,[140],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",6.405041757,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",269.0256727,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
141,[141],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",6.562789978,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",269.9443242,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
142,[142],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",6.670275286,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",271.0114445,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
143,[143],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",6.880606248,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",272.236313,LiPF6,1.0,mol/l,mol/L,molar,,EC:0.500+DMC:0.500
