original_row_index,doi,conductivity,anion_name,composition_summary,solvent_entropy,weighted_permittivity,weighted_viscosity_mPa_s_25C,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,anion_PF6,anion_ClO4,anion_TFSI,anion_FSI,anion_BF4,has_EC,frac_EC,has_PC,frac_PC,has_DME,frac_DME,has_DMC,frac_DMC,has_DEC,frac_DEC,has_EMC,frac_EMC
121,10.1016/j.jpowsour.2011.07.071,9.3,TFSI,EC:0.250+DMC:0.750,0.5623351446188083,24.575,0.9175,24.575,0.9175,0,0,1,0,0,1,0.25,0,0.0,0,0.0,1,0.75,0,0.0,0,0.0
122,10.1016/j.jpowsour.2011.07.071,9.373333333,TFSI,EC:0.300+DMC:0.700,0.6108643020548935,28.869999999999997,0.9829999999999999,28.869999999999997,0.9829999999999999,0,0,1,0,0,1,0.3,0,0.0,0,0.0,1,0.7,0,0.0,0,0.0
123,10.1016/j.jpowsour.2011.07.071,9.446666667,TFSI,EC:0.400+DMC:0.600,0.6730116670092565,37.46,1.1139999999999999,37.46,1.1139999999999999,0,0,1,0,0,1,0.4,0,0.0,0,0.0,1,0.6,0,0.0,0,0.0
124,10.1016/j.jpowsour.2011.07.071,9.313333333,TFSI,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,0,0,1,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
125,10.1016/j.jpowsour.2011.07.071,9.093333333,TFSI,EC:0.600+DMC:0.400,0.6730116670092565,54.64,1.376,54.64,1.376,0,0,1,0,0,1,0.6,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0
126,10.1016/j.jpowsour.2011.07.071,8.886666667,TFSI,EC:0.700+DMC:0.300,0.6108643020548935,63.23,1.507,63.23,1.507,0,0,1,0,0,1,0.7,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0
127,10.1016/j.jpowsour.2011.07.071,8.666666667,TFSI,EC:0.800+DMC:0.200,0.5004024235381879,71.82000000000001,1.638,71.82000000000001,1.638,0,0,1,0,0,1,0.8,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0
128,10.1016/j.jpowsour.2011.07.071,7.906666667,TFSI,EC:1.000,-0.0,89.0,1.9,89.0,1.9,0,0,1,0,0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
129,10.1016/j.jpowsour.2011.07.071,6.993333333,TFSI,DMC:1.000,-0.0,3.1,0.59,3.1,0.59,0,0,1,0,0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
130,10.1016/j.jpowsour.2011.07.071,5.037117229,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
131,10.1016/j.jpowsour.2011.07.071,5.194092174,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
132,10.1016/j.jpowsour.2011.07.071,5.247448191,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
133,10.1016/j.jpowsour.2011.07.071,5.353386947,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
134,10.1016/j.jpowsour.2011.07.071,5.457005877,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
135,10.1016/j.jpowsour.2011.07.071,5.615527374,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
136,10.1016/j.jpowsour.2011.07.071,5.77250232,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
137,10.1016/j.jpowsour.2011.07.071,6.033096195,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
138,10.1016/j.jpowsour.2011.07.071,6.143674606,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
139,10.1016/j.jpowsour.2011.07.071,6.196257346,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
140,10.1016/j.jpowsour.2011.07.071,6.405041757,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
141,10.1016/j.jpowsour.2011.07.071,6.562789978,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
142,10.1016/j.jpowsour.2011.07.071,6.670275286,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
143,10.1016/j.jpowsour.2011.07.071,6.880606248,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
144,10.1016/j.jpowsour.2011.07.071,6.98731828,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
