original_row_index,doi,original_salt,rejection_reason
417,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
418,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
419,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
420,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
421,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
422,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
423,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
424,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
425,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
426,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
427,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
428,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
429,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
430,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
431,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
432,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
433,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
434,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
435,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
436,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
437,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
