original_row_index,doi,conductivity,anion_name,composition_summary,salt_conc,temperature,replicate_count,cluster_id,pca1,pca2
185,10.1016/j.jpowsour.2011.07.071,18.36452212,PF6,EC:0.500+DMC:0.500,1.0,333.0838231,1,1,2.1312679500694593,0.4917041303147345
186,10.1016/j.jpowsour.2011.07.071,18.89189607,PF6,EC:0.500+DMC:0.500,1.0,336.4491185,1,1,2.1312679500694593,0.4917041303147345
187,10.1016/j.jpowsour.2011.07.071,19.67445097,PF6,EC:0.500+DMC:0.500,1.0,339.8298794,1,1,2.1312679500694593,0.4917041303147345
188,10.1016/j.jpowsour.2011.07.071,20.20027838,PF6,EC:0.500+DMC:0.500,1.0,342.8920507,1,1,2.1312679500694593,0.4917041303147345
189,10.1016/j.jpowsour.2011.07.071,20.82817816,PF6,EC:0.500+DMC:0.500,1.0,345.9604083,1,1,2.1312679500694593,0.4917041303147345
190,10.1016/j.jpowsour.2011.07.071,21.40194865,PF6,EC:0.500+DMC:0.500,1.0,348.4194247,1,1,2.1312679500694593,0.4917041303147345
191,10.1016/j.jpowsour.2011.07.071,21.92932261,PF6,EC:0.500+DMC:0.500,1.0,351.7847201,1,1,2.1312679500694593,0.4917041303147345
192,10.1016/j.jpowsour.2011.07.071,22.55335602,PF6,EC:0.500+DMC:0.500,1.0,354.0952676,1,1,2.1312679500694593,0.4917041303147345
193,10.1016/j.jpowsour.2011.07.071,3.379987628,TFSI,EC:0.500+DMC:0.500,1.0,256.1150634,1,1,1.3926834906669598,0.37448071581146974
194,10.1016/j.jpowsour.2011.07.071,3.48669966,TFSI,EC:0.500+DMC:0.500,1.0,257.0306217,1,1,1.3926834906669598,0.37448071581146974
195,10.1016/j.jpowsour.2011.07.071,3.543148778,TFSI,EC:0.500+DMC:0.500,1.0,258.0946489,1,1,1.3926834906669598,0.37448071581146974
196,10.1016/j.jpowsour.2011.07.071,3.598824621,TFSI,EC:0.500+DMC:0.500,1.0,259.0071141,1,1,1.3926834906669598,0.37448071581146974
197,10.1016/j.jpowsour.2011.07.071,3.603464275,TFSI,EC:0.500+DMC:0.500,1.0,259.9164862,1,1,1.3926834906669598,0.37448071581146974
198,10.1016/j.jpowsour.2011.07.071,3.712496134,TFSI,EC:0.500+DMC:0.500,1.0,261.2867306,1,1,1.3926834906669598,0.37448071581146974
199,10.1016/j.jpowsour.2011.07.071,3.718682338,TFSI,EC:0.500+DMC:0.500,1.0,262.4992267,1,1,1.3926834906669598,0.37448071581146974
200,10.1016/j.jpowsour.2011.07.071,3.774358181,TFSI,EC:0.500+DMC:0.500,1.0,263.4116919,1,1,1.3926834906669598,0.37448071581146974
201,10.1016/j.jpowsour.2011.07.071,3.778224559,TFSI,EC:0.500+DMC:0.500,1.0,264.169502,1,1,1.3926834906669598,0.37448071581146974
202,10.1016/j.jpowsour.2011.07.071,3.884163316,TFSI,EC:0.500+DMC:0.500,1.0,264.9334983,1,1,1.3926834906669598,0.37448071581146974
203,10.1016/j.jpowsour.2011.07.071,4.041911537,TFSI,EC:0.500+DMC:0.500,1.0,265.8521497,1,1,1.3926834906669598,0.37448071581146974
204,10.1016/j.jpowsour.2011.07.071,4.20120631,TFSI,EC:0.500+DMC:0.500,1.0,267.0739251,1,1,1.3926834906669598,0.37448071581146974
205,10.1016/j.jpowsour.2011.07.071,4.20816579,TFSI,EC:0.500+DMC:0.500,1.0,268.4379833,1,1,1.3926834906669598,0.37448071581146974
206,10.1016/j.jpowsour.2011.07.071,4.215125271,TFSI,EC:0.500+DMC:0.500,1.0,269.8020414,1,1,1.3926834906669598,0.37448071581146974
207,10.1016/j.jpowsour.2011.07.071,4.323383854,TFSI,EC:0.500+DMC:0.500,1.0,271.0207238,1,1,1.3926834906669598,0.37448071581146974
208,10.1016/j.jpowsour.2011.07.071,4.531394989,TFSI,EC:0.500+DMC:0.500,1.0,271.7909063,1,1,1.3926834906669598,0.37448071581146974
209,10.1016/j.jpowsour.2011.07.071,4.739406124,TFSI,EC:0.500+DMC:0.500,1.0,272.5610888,1,1,1.3926834906669598,0.37448071581146974
210,10.1016/j.jpowsour.2011.07.071,4.94741726,TFSI,EC:0.500+DMC:0.500,1.0,273.3312713,1,1,1.3926834906669598,0.37448071581146974
211,10.1016/j.jpowsour.2011.07.071,4.95437674,TFSI,EC:0.500+DMC:0.500,1.0,274.6953294,1,1,1.3926834906669598,0.37448071581146974
212,10.1016/j.jpowsour.2011.07.071,5.010052583,TFSI,EC:0.500+DMC:0.500,1.0,275.6077946,1,1,1.3926834906669598,0.37448071581146974
213,10.1016/j.jpowsour.2011.07.071,5.119857717,TFSI,EC:0.500+DMC:0.500,1.0,277.129601,1,1,1.3926834906669598,0.37448071581146974
214,10.1016/j.jpowsour.2011.07.071,5.276059388,TFSI,EC:0.500+DMC:0.500,1.0,277.7451284,1,1,1.3926834906669598,0.37448071581146974
215,10.1016/j.jpowsour.2011.07.071,5.43535416,TFSI,EC:0.500+DMC:0.500,1.0,278.9669038,1,1,1.3926834906669598,0.37448071581146974
216,10.1016/j.jpowsour.2011.07.071,5.647231673,TFSI,EC:0.500+DMC:0.500,1.0,280.4948964,1,1,1.3926834906669598,0.37448071581146974
217,10.1016/j.jpowsour.2011.07.071,5.856016084,TFSI,EC:0.500+DMC:0.500,1.0,281.4166409,1,1,1.3926834906669598,0.37448071581146974
218,10.1016/j.jpowsour.2011.07.071,5.910918651,TFSI,EC:0.500+DMC:0.500,1.0,282.1775441,1,1,1.3926834906669598,0.37448071581146974
219,10.1016/j.jpowsour.2011.07.071,6.170739251,TFSI,EC:0.500+DMC:0.500,1.0,283.1023817,1,1,1.3926834906669598,0.37448071581146974
220,10.1016/j.jpowsour.2011.07.071,6.484689143,TFSI,EC:0.500+DMC:0.500,1.0,284.6365605,1,1,1.3926834906669598,0.37448071581146974
221,10.1016/j.jpowsour.2011.07.071,6.596040829,TFSI,EC:0.500+DMC:0.500,1.0,286.4614909,1,1,1.3926834906669598,0.37448071581146974
222,10.1016/j.jpowsour.2011.07.071,7.065419115,TFSI,EC:0.500+DMC:0.500,1.0,288.459635,1,1,1.3926834906669598,0.37448071581146974
