source_row_number,original_row_index,doi,anion_name,composition_summary,criterion_name,features_used,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,cluster_id,row_status,valid_feature_position,best_k,best_candidate_k,best_silhouette_score,one_cluster_fallback_used
44,67,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,44,5,5,0.7972778726861223,False
45,68,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,45,5,5,0.7972778726861223,False
46,69,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,46,5,5,0.7972778726861223,False
47,70,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,47,5,5,0.7972778726861223,False
48,71,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,48,5,5,0.7972778726861223,False
49,72,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,49,5,5,0.7972778726861223,False
50,73,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,50,5,5,0.7972778726861223,False
51,74,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,51,5,5,0.7972778726861223,False
52,75,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,52,5,5,0.7972778726861223,False
53,76,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,53,5,5,0.7972778726861223,False
54,77,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,54,5,5,0.7972778726861223,False
55,78,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,55,5,5,0.7972778726861223,False
56,79,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,56,5,5,0.7972778726861223,False
57,106,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,57,5,5,0.7972778726861223,False
58,107,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,58,5,5,0.7972778726861223,False
59,108,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,59,5,5,0.7972778726861223,False
60,109,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,60,5,5,0.7972778726861223,False
61,110,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,61,5,5,0.7972778726861223,False
62,111,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,62,5,5,0.7972778726861223,False
63,112,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,63,5,5,0.7972778726861223,False
