source_row_number,original_row_index,doi,anion_name,composition_summary,criterion_name,features_used,weighted_permittivity,weighted_viscosity_mPa_s_25C,cluster_id,row_status,valid_feature_position,best_k,best_candidate_k,best_silhouette_score,one_cluster_fallback_used
52,75,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,52,6,6,0.9448105888567919,False
53,76,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,53,6,6,0.9448105888567919,False
54,77,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,54,6,6,0.9448105888567919,False
55,78,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,55,6,6,0.9448105888567919,False
56,79,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,56,6,6,0.9448105888567919,False
57,106,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,57,6,6,0.9448105888567919,False
58,107,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,58,6,6,0.9448105888567919,False
59,108,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,59,6,6,0.9448105888567919,False
60,109,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,60,6,6,0.9448105888567919,False
61,110,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,61,6,6,0.9448105888567919,False
62,111,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,62,6,6,0.9448105888567919,False
63,112,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,63,6,6,0.9448105888567919,False
64,113,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,64,6,6,0.9448105888567919,False
65,114,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,65,6,6,0.9448105888567919,False
66,115,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,66,6,6,0.9448105888567919,False
67,116,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,67,6,6,0.9448105888567919,False
68,117,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,68,6,6,0.9448105888567919,False
69,118,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,69,6,6,0.9448105888567919,False
70,119,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.100+DMC:0.900,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",11.69,0.7210000000000001,4,clustered,70,6,6,0.9448105888567919,False
71,120,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.200+DMC:0.800,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",20.28,0.852,3,clustered,71,6,6,0.9448105888567919,False
72,121,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.250+DMC:0.750,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",24.575,0.9175,3,clustered,72,6,6,0.9448105888567919,False
73,122,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.300+DMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.87,0.983,3,clustered,73,6,6,0.9448105888567919,False
74,123,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.400+DMC:0.600,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",37.46,1.114,3,clustered,74,6,6,0.9448105888567919,False
75,124,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,75,6,6,0.9448105888567919,False
76,125,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.600+DMC:0.400,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",54.64,1.376,1,clustered,76,6,6,0.9448105888567919,False
77,126,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.700+DMC:0.300,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",63.23,1.507,6,clustered,77,6,6,0.9448105888567919,False
78,127,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.800+DMC:0.200,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",71.82000000000001,1.638,6,clustered,78,6,6,0.9448105888567919,False
79,128,10.1016/j.jpowsour.2011.07.071,TFSI,EC:1.000,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",89.0,1.9,5,clustered,79,6,6,0.9448105888567919,False
80,129,10.1016/j.jpowsour.2011.07.071,TFSI,DMC:1.000,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",3.1,0.59,4,clustered,80,6,6,0.9448105888567919,False
81,130,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,81,6,6,0.9448105888567919,False
