doi,conductivity_mScm,temperature_K,concentration_molkg,salt,EC,PC,DMC,EMC,DEC,DME
10.1149/1.1513556,8.095813768,293.15,0.947087621,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,10.05984614,303.15,0.942731542,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,12.04186232,313.15,0.940553502,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,14.13288041,323.15,0.939354581,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,16.24218204,333.15,0.937036667,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,0.97532221,243.15,1.072494755,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,1.866120492,253.15,1.073713658,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,2.993405935,263.15,1.073573784,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,4.375462084,273.15,1.070956139,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,5.993805575,283.15,1.06917774,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,7.830352683,293.15,1.067159556,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,9.776001599,303.15,1.065021481,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,11.83075232,313.15,1.062763513,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,14.0128884,323.15,1.05926666,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,16.19492457,333.15,1.056868818,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,0.780697372,243.15,1.213367969,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,1.453292037,253.15,1.214826656,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,2.562593666,263.15,1.212508742,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,3.92636627,273.15,1.211010091,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,5.526526126,283.15,1.209251673,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,7.326805875,293.15,1.206174443,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,9.326905785,303.15,1.205075432,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,11.43620741,313.15,1.202757518,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,13.60005995,323.15,1.200379658,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,15.87301429,333.15,1.197881906,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,0.512238985,243.15,1.366410231,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,1.166849835,253.15,1.365690878,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,2.148766111,263.15,1.364611849,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,3.403336997,273.15,1.364332101,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,4.949045859,283.15,1.361534619,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,6.694674793,293.15,1.359616345,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,8.622040164,303.15,1.358597262,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,10.74972525,313.15,1.354061345,PF6,0.3,0.3,0.0,0.4,0.0,0.0
