file,n_atoms,total_charge_e,mu_x_eA,mu_y_eA,mu_z_eA,mu_total_eA,mu_x_D,mu_y_D,mu_z_D,mu_total_D
coordinate_61p5,10,0.0,-1.6957875900000006,-0.06859468000000009,2.3630481399999996,2.909363726397882,-8.145214943806172,-0.3294742902332496,11.350203962078394,13.97426956121529
coordinate_62,10,0.0,-1.6958391700000006,-0.06850653000000005,2.36327235,2.9095738236782127,-8.145462693105246,-0.32905088773783636,11.351280888607,13.97527870146227
coordinate_62p5,10,0.0,-1.6958425900000003,-0.06839711000000011,2.3635822899999996,2.9098249941046115,-8.145479120065362,-0.3285253210781872,11.352769593875612,13.976485124438009
coordinate_63,10,0.0,-1.6960289900000003,-0.06867062000000002,2.36360797,2.9099609318372517,-8.146374437423786,-0.32983904559912186,11.352892940172634,13.977138061196042
coordinate_63p5,10,0.0,-1.6961549900000001,-0.06810744000000007,2.3637892,2.91016833800416,-8.146979641217568,-0.32713397676909683,11.353763424962692,13.978134275474352
coordinate_64,10,0.0,-1.6958488000000007,-0.06815518999999996,2.3643591,2.9104539570551857,-8.14550894796663,-0.3273633297941215,11.356500771328387,13.979506162246238
coordinate_64p5,10,0.0,-1.696133500000001,-0.06814051000000011,2.36432832,2.910594506914238,-8.146876420348299,-0.32729281874894167,11.356352928687333,13.980181251991588
coordinate_65,10,0.0,-1.6961322399999994,-0.06809817,2.36457758,2.9107952638692094,-8.146870368310354,-0.3270894510614109,11.357550175493989,13.98114552874379
coordinate_65p5,10,0.0,-1.6961016800000008,-0.06810132999999997,2.36487013,2.911015189210254,-8.146723582374344,-0.3271046291883025,11.35895535303265,13.982201875178308
coordinate_66,10,0.0,-1.6960389800000009,-0.0680509,2.36511722,2.9111782169786142,-8.146422421438867,-0.32686240357464774,11.36014217688508,13.982984930923577
coordinate_66p5,10,0.0,-1.6960121400000006,-0.06802168000000006,2.365374,2.911370517102453,-8.14629350342438,-0.3267220539329467,11.361375543791175,13.983908587784628
coordinate_67,10,0.0,-1.6960137700000013,-0.06799923999999997,2.3656364300000003,2.911584160489499,-8.146301332648065,-0.32661427001919624,11.362636048803896,13.984934760708095
coordinate_67p5,10,0.0,-1.6950325900000007,-0.06796745000000023,2.3667587,2.9119240717174106,-8.141588524248183,-0.3264615761413849,11.36802654135667,13.986567423919857
coordinate_68,10,0.0,-1.6950575899999998,-0.06784244,2.3669515499999996,2.912092455628626,-8.141708604365991,-0.32586112752026536,11.368952839385488,13.987376206315727
coordinate_68p5,10,0.0,-1.6952690500000007,-0.06778754000000001,2.36694899,2.9122121872777704,-8.142724290034517,-0.32559743158154525,11.368940543181425,13.98795130193714
coordinate_69,10,0.0,-1.6959166799999998,-0.06808972000000003,2.36651257,2.9122416347961075,-8.145834989502514,-0.3270488639815899,11.366844328580765,13.988092744395992
coordinate_69p5,10,0.0,-1.6953434100000004,-0.06771830999999998,2.3673305399999998,2.912563979203955,-8.143081456336942,-0.3252649057192939,11.370773205939505,13.989641030574834
coordinate_70,10,0.0,-1.6954474599999996,-0.06765336999999991,2.3674286799999997,2.9127028037510705,-8.14358122978728,-0.3249529856052592,11.371244592449996,13.99030783329376
coordinate_70p5,10,0.0,-1.6960390600000004,-0.06771799999999993,2.3670497299999997,2.9127407445330173,-8.146422805695241,-0.32526341672583275,11.369424418024169,13.990490070636406
coordinate_71,10,0.0,-1.6964621700000007,-0.06760622000000005,2.3668545200000004,2.9128259155102683,-8.148455089641178,-0.3247265145030622,11.36848678443223,13.990899164275712
coordinate_71p5,10,0.0,-1.6968319000000007,-0.06753081000000012,2.3667494,2.912954107011854,-8.150230978519557,-0.3243643048356876,11.367981871552843,13.99151489430024
coordinate_72,10,0.0,-1.6974196800000008,-0.06761534000000013,2.36636872,2.9129892418697776,-8.153054206185512,-0.3247703197300413,11.366153387582862,13.991683654215395
coordinate_72p5,10,0.0,-1.69791991,-0.06757686000000006,2.36609727,2.9130593787088035,-8.155456913278877,-0.3245854924127012,11.364849557663634,13.992020535811129
coordinate_73,10,0.0,-1.6954437000000007,-0.06689049000000005,2.36869162,2.91370960601436,-8.143563169737567,-0.32128871679413434,11.377310751809691,13.995143710669419
coordinate_73p5,10,0.0,-1.6953331400000002,-0.06667648000000008,2.3690279899999998,2.9139138329694805,-8.143032127424544,-0.3202607829535973,11.378926405778858,13.996124654542687
coordinate_74,10,0.0,-1.6926954199999993,-0.0663436799999999,2.37159223,2.9144586073851335,-8.130362618290098,-0.3186622764252531,11.39124297543102,13.99874131758324
coordinate_74p5,10,0.0,-1.6925019000000003,-0.06615760000000001,2.3719413299999994,2.914626079363104,-8.129433102114126,-0.3177684960923385,11.392919774196175,13.99954571977705
coordinate_75,10,0.0,-1.6960006000000005,-0.06653503000000005,2.36897566,2.914256444290704,-8.146238074441996,-0.31958136964700407,11.378675054076249,13.997770286855369
coordinate_75p5,10,0.0,-1.6985135800000006,-0.06701974000000004,2.3667290299999997,2.9139056828316914,-8.158308431820592,-0.32190953100323394,11.367884030272846,13.996085507762452
coordinate_76,10,0.0,-1.6987656599999994,-0.06712911000000005,2.36665271,2.9139931596959814,-8.15951922366453,-0.32243485750264783,11.367517449689185,13.99650567704925
coordinate_76p5,10,0.0,-1.6992915900000005,-0.06740159999999987,2.36623946,2.9139704984073505,-8.162045373119017,-0.3237436827547752,11.365532525341715,13.996396830240904
coordinate_77,10,0.0,-1.69859297,-0.06713045999999996,2.36715682,2.914301972491139,-8.15868975824272,-0.32244134182900935,11.369938793216837,13.997988968122254
coordinate_77p5,10,0.0,-1.6988093699999998,-0.06824978999999999,2.36693977,2.914277815212972,-8.15972917174252,-0.3278177129599308,11.368896257633976,13.997872935769918
coordinate_78,10,0.0,-1.699000250000001,-0.06703519000000009,2.3670958100000004,2.9144876290555706,-8.16064600745806,-0.32198374051604345,11.369645749697327,13.99888071460745
coordinate_78p5,10,0.0,-1.6988539000000005,-0.06690299000000004,2.3674300199999996,2.9146707332412953,-8.159943058448373,-0.3213487568530414,11.371251028744311,13.999760201495214
